TPCNote  54320  54530  74   4
TPCNote  54390  54985  53   1
TPCNote  54530  54775  79   3
TPCNote  54775  54985  77   1
TPCNote  54775  55685  65   1
TPCNote  54985  55230  75  -1
TPCNote  54985  55580  53   1
TPCNote  55230  55440  77   1
TPCNote  55440  55685  74   4
TPCNote  55580  56175  51  -1
TPCNote  55685  55895  70   0
TPCNote  55685  57050  67   3
TPCNote  55895  56140  75  -1
TPCNote  56140  56350  75  -1
TPCNote  56140  56175  51  -1
TPCNote  56350  56595  74   4
TPCNote  56595  56805  74   4
TPCNote  56770  57365  50   4
TPCNote  56770  57050  72   2
TPCNote  57050  57260  72   2
TPCNote  57050  58415  69   5
TPCNote  57260  57505  77   1
TPCNote  57365  57960  50   4
TPCNote  57505  57715  77   1
TPCNote  57715  57960  75  -1
TPCNote  57960  58555  55   3
TPCNote  57960  58170  75  -1
TPCNote  58170  58415  74   4
TPCNote  58415  58625  62   4
TPCNote  58415  59990  74   4
TPCNote  58590  59185  55   3
TPCNote  58590  58870  72   2
TPCNote  58870  59080  70   0
TPCNote  59080  59325  69   5
TPCNote  59185  59780  53   1
TPCNote  59325  59535  70   0
TPCNote  59535  59780  67   3
TPCNote  59780  60375  53   1
TPCNote  59780  61355  63  -1
TPCNote  59990  60235  74   4
TPCNote  60235  60445  72   2
TPCNote  60375  60970  51  -1
TPCNote  60445  60690  70   0
TPCNote  60690  60900  72   2
TPCNote  60900  61145  69   5
TPCNote  60970  62160  51  -1
TPCNote  61145  61600  66   8
TPCNote  61355  61600  62   4
TPCNote  61600  61810  62   4
TPCNote  61600  62055  67   3
TPCNote  61810  62055  60   2
TPCNote  62055  62265  60   2
TPCNote  62055  62965  69   5
TPCNote  62160  63385  53   1
TPCNote  62265  62510  58   0
TPCNote  62510  63420  58   0
TPCNote  62965  63420  74   4
TPCNote  63385  64575  41   1
TPCNote  63385  63875  70   0
TPCNote  63875  64330  67   3
TPCNote  64330  64785  69   5
TPCNote  64330  64785  60   2
TPCNote  64575  65765  46   0
TPCNote  64785  65240  66   8
TPCNote  64785  65240  57   5
TPCNote  65240  65450  58   0
TPCNote  65240  67060  67   3
TPCNote  65450  65695  55   3
TPCNote  65695  65905  64   6
TPCNote  65765  68775  58   0
TPCNote  65905  66150  66   8
TPCNote  66605  68180  69   5
TPCNote  67060  67270  66   8
TPCNote  67270  67515  67   3
TPCNote  67970  68425  62   4
TPCNote  68180  68425  67   3
TPCNote  68425  68635  67   3
TPCNote  68425  69755  74   4
TPCNote  68635  68845  65   1
TPCNote  68775  69370  57   5
TPCNote  68880  69090  65   1
TPCNote  69090  69300  63  -1
TPCNote  69335  69545  63  -1
TPCNote  69335  69370  57   5
TPCNote  69545  69755  68  -2
TPCNote  69755  70000  72   2
TPCNote  69755  70000  68  -2
TPCNote  69965  70560  55   3
TPCNote  69965  70210  74   4
TPCNote  69965  70210  67   3
TPCNote  70210  70455  67   3
TPCNote  70210  70910  75  -1
TPCNote  70455  70665  65   1
TPCNote  70560  71155  55   3
TPCNote  70665  72275  65   1
TPCNote  70910  71120  75  -1
TPCNote  71120  71365  74   4
TPCNote  71190  71785  53   1
TPCNote  71365  71575  72   2
TPCNote  71575  71820  74   4
TPCNote  71785  72380  53   1
TPCNote  71785  72030  70   0
TPCNote  72030  72275  67   3
TPCNote  72275  72485  68  -2
TPCNote  72275  72485  65   1
TPCNote  72380  72975  55   3
TPCNote  72485  72730  67   3
TPCNote  72485  72730  63  -1
TPCNote  72730  72940  65   1
TPCNote  72730  72940  62   4
TPCNote  72940  73185  63  -1
TPCNote  72940  73185  67   3
TPCNote  72940  73570  53   1
TPCNote  73185  73395  70   0
TPCNote  73185  73395  58   0
TPCNote  73395  73640  63  -1
TPCNote  73570  74165  52   6
TPCNote  73640  73850  65   1
TPCNote  73850  74095  63  -1
TPCNote  74095  74305  62   4
TPCNote  74165  74760  53   1
TPCNote  74305  74550  63  -1
TPCNote  74550  74760  70   0
TPCNote  74760  76125  75  -1
TPCNote  74760  75355  48   2
TPCNote  75390  75985  45   5
TPCNote  75985  76580  50   4
TPCNote  76125  77490  77   1
TPCNote  76580  77175  48   2
TPCNote  77175  77770  46   0
TPCNote  77490  77735  70   0
TPCNote  77735  77945  73  -3
TPCNote  77735  78365  48   2
TPCNote  77945  78190  73  -3
TPCNote  77945  78400  67   3
TPCNote  78190  78400  72   2
TPCNote  78365  78960  45   5
TPCNote  78365  78400  72   2
TPCNote  78365  78855  64   6
TPCNote  78645  78855  70   0
TPCNote  78855  79310  60   2
TPCNote  78855  80465  68  -2
TPCNote  78960  79555  41   1
TPCNote  79310  79555  62   4
TPCNote  79555  80185  46   0
TPCNote  79555  79765  63  -1
TPCNote  79765  80220  65   1
TPCNote  80185  80780  46   0
TPCNote  80185  81585  59   7
TPCNote  80465  80675  67   3
TPCNote  80675  80920  65   1
TPCNote  80780  81375  45   5
TPCNote  80920  81130  63  -1
TPCNote  81130  81375  65   1
TPCNote  81375  81970  45   5
TPCNote  81375  81585  62   4
TPCNote  81585  82040  63  -1
TPCNote  81585  82040  60   2
TPCNote  81970  82565  43   3
TPCNote  82040  82495  67   3
TPCNote  82040  82495  63  -1
TPCNote  82495  82950  72   2
TPCNote  82495  83195  65   1
TPCNote  82565  83160  43   3
TPCNote  82950  83195  71   7
TPCNote  83160  83755  48   2
TPCNote  83160  83405  72   2
TPCNote  83160  83405  68  -2
TPCNote  83405  83650  67   3
TPCNote  83405  84560  74   4
TPCNote  83650  83860  65   1
TPCNote  83790  84385  48   2
TPCNote  83860  84105  67   3
TPCNote  84105  84315  62   4
TPCNote  84385  84980  46   0
TPCNote  84560  84770  74   4
TPCNote  84770  85015  72   2
TPCNote  84980  85575  46   0
TPCNote  84980  85225  71   7
TPCNote  85225  85470  72   2
TPCNote  85470  85680  67   3
TPCNote  85575  86170  45   5
